"","x"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8"," "
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18"," "
"19"," "
"20","1"
"21"," "
"22"," "
"23","1"
"24","1"
"25","1"
"26","1"
"27"," "
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34"," "
"35"," "
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44"," "
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","1"
"51"," "
"52","1"
"53"," "
"54"," "
"55"," "
"56","1"
"57","1"
"58","1"
"59","1"
"60"," "
"61","1"
"62","1"
"63","1"
"64"," "
"65","1"
"66"," "
"67","1"
"68","1"
"69","1"
"70"," "
"71"," "
"72","1"
"73"," "
"74","1"
"75","1"
"76","1"
"77","1"
"78"," "
"79","1"
"80"," "
"81"," "
"82","1"
"83","1"
"84","1"
"85","1"
"86","1"
"87","1"
"88"," "
"89"," "
"90"," "
"91","1"
"92"," "
"93","1"
"94","1"
"95","1"
"96"," "
"97","1"
"98","1"
"99","1"
"100","1"
