"","x"
"1","1"
"2"," "
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12"," "
"13"," "
"14","1"
"15"," "
"16","1"
"17"," "
"18","1"
"19"," "
"20"," "
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27"," "
"28"," "
"29","1"
"30"," "
"31","1"
"32","1"
"33","1"
"34"," "
"35","1"
"36","1"
"37"," "
"38"," "
"39","1"
"40","1"
"41"," "
"42"," "
"43"," "
"44","1"
"45"," "
"46","1"
"47","1"
"48","1"
"49"," "
"50","1"
"51","1"
"52"," "
"53"," "
"54","1"
"55"," "
"56"," "
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62"," "
"63","1"
"64"," "
"65"," "
"66","1"
"67"," "
"68","1"
"69","1"
"70","1"
"71","1"
"72"," "
"73","1"
"74","1"
"75"," "
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81"," "
"82","1"
"83","1"
"84"," "
"85"," "
"86"," "
"87"," "
"88","1"
"89","1"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","1"
"97"," "
"98"," "
"99","1"
"100","1"
