"","x"
"1"," "
"2"," "
"3"," "
"4"," "
"5"," "
"6","1"
"7"," "
"8"," "
"9"," "
"10"," "
"11"," "
"12"," "
"13"," "
"14"," "
"15","1"
"16"," "
"17"," "
"18"," "
"19"," "
"20"," "
"21"," "
"22"," "
"23","1"
"24"," "
"25"," "
"26","1"
"27","1"
"28"," "
"29"," "
"30","1"
"31"," "
"32"," "
"33"," "
"34"," "
"35","1"
"36"," "
"37"," "
"38"," "
"39"," "
"40"," "
"41"," "
"42"," "
"43"," "
"44","1"
"45"," "
"46","1"
"47"," "
"48"," "
"49"," "
"50"," "
"51"," "
"52","1"
"53"," "
"54","1"
"55","1"
"56"," "
"57"," "
"58"," "
"59","1"
"60"," "
"61"," "
"62","1"
"63"," "
"64"," "
"65","1"
"66"," "
"67","1"
"68"," "
"69"," "
"70"," "
"71"," "
"72"," "
"73","1"
"74","1"
"75"," "
"76"," "
"77"," "
"78"," "
"79"," "
"80"," "
"81"," "
"82"," "
"83"," "
"84"," "
"85","1"
"86"," "
"87"," "
"88","1"
"89"," "
"90"," "
"91"," "
"92"," "
"93"," "
"94"," "
"95"," "
"96"," "
"97"," "
"98"," "
"99"," "
"100"," "
