"","x"
"1"," "
"2","1"
"3","1"
"4","1"
"5","1"
"6"," "
"7"," "
"8","1"
"9","1"
"10"," "
"11"," "
"12"," "
"13"," "
"14"," "
"15"," "
"16"," "
"17"," "
"18","1"
"19"," "
"20","1"
"21"," "
"22","1"
"23"," "
"24"," "
"25"," "
"26"," "
"27"," "
"28","1"
"29"," "
"30"," "
"31"," "
"32"," "
"33"," "
"34","1"
"35"," "
"36","1"
"37"," "
"38"," "
"39"," "
"40"," "
"41"," "
"42","1"
"43"," "
"44"," "
"45","1"
"46"," "
"47"," "
"48","1"
"49","1"
"50"," "
"51","1"
"52","1"
"53"," "
"54"," "
"55"," "
"56"," "
"57"," "
"58"," "
"59"," "
"60"," "
"61"," "
"62"," "
"63"," "
"64"," "
"65"," "
"66","1"
"67","1"
"68","1"
"69","1"
"70","1"
"71"," "
"72","1"
"73"," "
"74"," "
"75","1"
"76","1"
"77","1"
"78"," "
"79"," "
"80"," "
"81"," "
"82"," "
"83"," "
"84"," "
"85"," "
"86"," "
"87"," "
"88"," "
"89"," "
"90"," "
"91"," "
"92"," "
"93","1"
"94"," "
"95"," "
"96"," "
"97"," "
"98","1"
"99"," "
"100"," "
