"","variable","variable","value"
"172","Chlorobiales","value",1645.74
"173","Chlorobiales","value",1714.86
"174","Chlorobiales","value",1652.46
"175","Chlorobiales","value",1703.87
"176","Chlorobiales","value",1767.32
"177","Chlorobiales","value",1655.55
"178","Chlorobiales","value",1741.43
"179","Chlorobiales","value",1649.27
"180","Chlorobiales","value",1771.04
"181","Chlorobiales","value",1662.26
"182","Chlorobiales","value",1658.89
"183","Chlorobiales","value",1670.9
"184","Chlorobiales","value",1683.83
"185","Chlorobiales","value",1649.49
"186","Chlorobiales","value",1655.25
"187","Chlorobiales","value",1646.94
"188","Chlorobiales","value",1666.7
"189","Chlorobiales","value",1665.15
"190","Chlorobiales","value",1645.01
"191","Chlorobiales","value",1647.98
"192","Chlorobiales","value",1644.89
"193","Chlorobiales","value",1648.36
"194","Chlorobiales","value",1690.73
"195","Chlorobiales","value",1659.92
"196","Chlorobiales","value",1709.25
"197","Chlorobiales","value",1718.67
"198","Chlorobiales","value",1669.01
"199","Chloroflexia","value",2015.36
"200","Chloroflexia","value",2199.51
"201","Chloroflexia","value",1987.97
"202","Chloroflexia","value",2148.44
"203","Chloroflexia","value",2048.18
"204","Chloroflexia","value",2218.43
"205","Chloroflexia","value",1978.3
"206","Chloroflexia","value",1839.25
"207","Chloroflexia","value",1947.92
"208","Chloroflexia","value",1490.5
"209","Chloroflexia","value",2000.06
"210","Chloroflexia","value",2096.96
"211","Chloroflexia","value",1760.4
"212","Chloroflexia","value",1413.22
"213","Chloroflexia","value",1933.81
"214","Chloroflexia","value",2164.29
"215","Chloroflexia","value",1754.56
"216","Chloroflexia","value",2201.22
"217","Chloroflexia","value",2122.67
"218","Chloroflexia","value",2082.66
"219","Chloroflexia","value",1694.74
"220","Chloroflexia","value",2156.88
"221","Chloroflexia","value",2109.15
"222","Chloroflexia","value",2198.66
"223","Chloroflexia","value",1792.68
"224","Chloroflexia","value",2059.69
"225","Chloroflexia","value",1572.88
"226","Chloroflexia","value",1639.48
"227","Chloroflexia","value",2011.32
"228","Chloroflexia","value",2211.05
"229","Chloroflexia","value",2051.46
"230","Chloroflexia","value",2300.76
"231","Chloroflexia","value",2030.91
"232","Chloroflexia","value",1786.03
"233","Chloroflexia","value",2158.04
"234","Chloroflexia","value",1690.01
"235","Chloroflexia","value",1684.53
"236","Chloroflexia","value",2143.96
"237","Chloroflexia","value",2258.17
"238","Chloroflexia","value",1855.61
"239","Chloroflexia","value",2320.97
"240","Chloroflexia","value",1903.39
"241","Chloroflexia","value",2290.18
"242","Chloroflexia","value",2004.48
"243","Chloroflexia","value",1179.37
"244","Chloroflexia","value",1739.1
"245","Chloroflexia","value",2089.87
"246","Chloroflexia","value",2518.02
"247","Chloroflexia","value",1972.44
"248","Chloroflexia","value",2035.59
"249","Chloroflexia","value",2095.37
"250","Chloroflexia","value",1681.54
"251","Chloroflexia","value",2051.6
"252","Chloroflexia","value",2189.92
"253","Chloroflexia","value",2070.53
"254","Chloroflexia","value",1890.23
"255","Chloroflexia","value",1989.39
"256","Chloroflexia","value",1672.1
"257","Chloroflexia","value",1522.1
"258","Chloroflexia","value",2087.03
"259","Chloroflexia","value",1777.14
"260","Chloroflexia","value",1757.39
"261","Chloroflexia","value",1983.91
"262","Chloroflexia","value",2049.75
"263","Chloroflexia","value",2421.89
"264","Chloroflexia","value",1779.59
"265","Chloroflexia","value",1564.76
"266","Chloroflexia","value",2386.79
"267","Chloroflexia","value",1595.14
"268","Chloroflexia","value",1989.03
"269","Chloroflexia","value",1916.3
"270","Chloroflexia","value",2158.9
"271","Chloroflexia","value",2193.99
"272","Chloroflexia","value",1909.39
"273","Chloroflexia","value",2212.54
"274","Chloroflexia","value",2097.8
"275","Chloroflexia","value",2305.86
"276","Chloroflexia","value",2122.87
"277","Chloroflexia","value",1764.4
"278","Chloroflexia","value",2215.08
"279","Chloroflexia","value",1979.62
"280","Chloroflexia","value",2079.11
"281","Chloroflexia","value",1953.32
"282","Chloroflexia","value",1969.71
"283","Chloroflexia","value",2128.25
"284","Chloroflexia","value",1814.95
"285","Chloroflexia","value",2123.37
"286","Chloroflexia","value",2225.41
"287","Chloroflexia","value",2020.07
"288","Chloroflexia","value",2140.36
"289","Chloroflexia","value",1914.25
"290","Chloroflexia","value",1661.32
"291","Chloroflexia","value",2286.87
"292","Chloroflexia","value",2348.38
"293","Chloroflexia","value",1972.8
"294","Chloroflexia","value",1245.4
"295","Chloroflexia","value",1906.52
"296","Chloroflexia","value",1070.16
"297","Chloroflexia","value",1991.1
