"","variable","variable","value"
"172","Chlorobiales","value",1862.57
"173","Chlorobiales","value",1665.3
"174","Chlorobiales","value",1685.93
"175","Chlorobiales","value",1844.75
"176","Chlorobiales","value",1731.49
"177","Chlorobiales","value",1785.12
"178","Chlorobiales","value",1661.2
"179","Chlorobiales","value",1668.17
"180","Chlorobiales","value",1724.57
"181","Chlorobiales","value",1653.92
"182","Chlorobiales","value",1684.82
"183","Chlorobiales","value",2127.17
"184","Chlorobiales","value",2022.56
"185","Chlorobiales","value",1735.79
"186","Chlorobiales","value",1798.96
"187","Chlorobiales","value",1648.2
"188","Chlorobiales","value",1687.15
"189","Chlorobiales","value",1666.03
"190","Chlorobiales","value",1729.36
"191","Chlorobiales","value",1693.53
"192","Chlorobiales","value",1716.19
"193","Chlorobiales","value",1850.45
"194","Chlorobiales","value",1864.46
"195","Chlorobiales","value",1747.44
"196","Chlorobiales","value",1760.54
"197","Chlorobiales","value",2186.47
"198","Chlorobiales","value",1663.36
"199","Chlorobiales","value",1772.49
"200","Chlorobiales","value",1768.67
"201","Chloroflexia","value",853.7
"202","Chloroflexia","value",1148.55
"203","Chloroflexia","value",681.714
"204","Chloroflexia","value",851.529
"205","Chloroflexia","value",503.055
"206","Chloroflexia","value",557.42
"207","Chloroflexia","value",675.598
"208","Chloroflexia","value",733.548
"209","Chloroflexia","value",547.581
"210","Chloroflexia","value",608.659
"211","Chloroflexia","value",1241.05
"212","Chloroflexia","value",661.41
"213","Chloroflexia","value",794.587
"214","Chloroflexia","value",1070.12
"215","Chloroflexia","value",838.866
"216","Chloroflexia","value",754.848
"217","Chloroflexia","value",828.352
"218","Chloroflexia","value",957.864
"219","Chloroflexia","value",1024.69
"220","Chloroflexia","value",1389.73
"221","Chloroflexia","value",1006.83
"222","Chloroflexia","value",559.618
"223","Chloroflexia","value",552.179
"224","Chloroflexia","value",640.824
"225","Chloroflexia","value",563.044
"226","Chloroflexia","value",1237.25
"227","Chloroflexia","value",881.564
"228","Chloroflexia","value",620.6
"229","Chloroflexia","value",446.959
"230","Chloroflexia","value",878.541
"231","Chloroflexia","value",527.838
"232","Chloroflexia","value",553.012
"233","Chloroflexia","value",616.628
"234","Chloroflexia","value",817.331
"235","Chloroflexia","value",1070.23
"236","Chloroflexia","value",697.384
"237","Chloroflexia","value",537.009
"238","Chloroflexia","value",798.501
"239","Chloroflexia","value",619.618
"240","Chloroflexia","value",842.39
"241","Chloroflexia","value",576.992
"242","Chloroflexia","value",787.758
"243","Chloroflexia","value",801.869
"244","Chloroflexia","value",665.758
"245","Chloroflexia","value",979.193
"246","Chloroflexia","value",1533.79
"247","Chloroflexia","value",977.739
"248","Chloroflexia","value",620.304
"249","Chloroflexia","value",570.714
"250","Chloroflexia","value",985.175
"251","Chloroflexia","value",1163
"252","Chloroflexia","value",651.659
"253","Chloroflexia","value",452.137
"254","Chloroflexia","value",988.213
"255","Chloroflexia","value",716.988
"256","Chloroflexia","value",478.161
"257","Chloroflexia","value",869.232
"258","Chloroflexia","value",854.207
"259","Chloroflexia","value",690.484
"260","Chloroflexia","value",932.839
"261","Chloroflexia","value",716.021
"262","Chloroflexia","value",501.391
"263","Chloroflexia","value",754.399
"264","Chloroflexia","value",549.161
"265","Chloroflexia","value",716.383
"266","Chloroflexia","value",1069.39
"267","Chloroflexia","value",753.364
"268","Chloroflexia","value",913.664
"269","Chloroflexia","value",558.19
"270","Chloroflexia","value",1052.8
"271","Chloroflexia","value",766.594
"272","Chloroflexia","value",432.437
"273","Chloroflexia","value",573.866
"274","Chloroflexia","value",701.806
"275","Chloroflexia","value",553.624
"276","Chloroflexia","value",879.548
"277","Chloroflexia","value",708.299
"278","Chloroflexia","value",621.623
"279","Chloroflexia","value",998.981
"280","Chloroflexia","value",1137.94
"281","Chloroflexia","value",590.991
"282","Chloroflexia","value",826.073
"283","Chloroflexia","value",1033.57
"284","Chloroflexia","value",662.806
"285","Chloroflexia","value",978.423
"286","Chloroflexia","value",637.073
"287","Chloroflexia","value",937.556
"288","Chloroflexia","value",919.503
"289","Chloroflexia","value",671.146
"290","Chloroflexia","value",438.944
"291","Chloroflexia","value",637.728
"292","Chloroflexia","value",766.718
"293","Chloroflexia","value",766.371
"294","Chloroflexia","value",664.289
"295","Chloroflexia","value",1039.71
"296","Chloroflexia","value",840.586
"297","Chloroflexia","value",730.932
"298","Chloroflexia","value",854.067
"299","Chloroflexia","value",1087.45
"300","Chloroflexia","value",588.668
