"","x"
"1","1"
"2"," "
"3"," "
"4"," "
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10"," "
"11"," "
"12"," "
"13"," "
"14"," "
"15"," "
"16"," "
"17"," "
"18","1"
"19","1"
"20"," "
"21","1"
"22","1"
"23","1"
"24"," "
"25"," "
"26","1"
"27","1"
"28","1"
"29"," "
"30"," "
"31","1"
"32"," "
"33","1"
"34"," "
"35","1"
"36","1"
"37","1"
"38"," "
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50"," "
"51"," "
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57"," "
"58","1"
"59","1"
"60"," "
"61"," "
"62"," "
"63"," "
"64"," "
"65","1"
"66","1"
"67","1"
"68","1"
"69"," "
"70"," "
"71"," "
"72"," "
"73"," "
"74"," "
"75"," "
"76","1"
"77","1"
"78"," "
"79","1"
"80","1"
"81","1"
"82","1"
"83"," "
"84"," "
"85"," "
"86"," "
"87"," "
"88"," "
"89"," "
"90"," "
"91","1"
"92","1"
"93","1"
"94"," "
"95"," "
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
